name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
The Chronicles of Narnia: The Voyage of the Dawn Treader,"03 Dec, 2010",[],Adventure,,Michael Apted,"['Georgie Henley', 'Skandar Keynes', 'Ben Barnes']",3.0,3.2,"The third part in the fantasy series holds merit on its own and manages to hold you in your seat with its mix of make-believe, special effects and fairy tale folklore.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Secretariat,"26 Nov, 2010",[],Drama,,Randall Wallace,,3.0,2.6,"The real drama picks up only in the final few moments of the movie when Secretariat, steals the show with with his racing moments. Exciting yet predictable.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Unstoppable,"26 Nov, 2010",[],Thriller,,Tony Scott,"['Denzel Washington', 'Chris Pine', 'Rosario Dawson']",3.0,3.0,"The film does move on predictable lines, nevertheless, the well-crafted sound and action sequences make the film worth a visit.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Red,"26 Nov, 2010",[],Action,,Robert Schwentke,"['Bruce Willis', 'Morgan Freeman', 'John Malkovich']",3.0,2.8,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Harry Potter and the Deathly Hallows: Part 1,"19 Nov, 2010",[],Adventure,,David Yates,"['Emma Watson', 'Rupert Grint', 'Ralph Fiennes']",3.5,4.1,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Social Network,"12 Nov, 2010",[],Drama,,David Fincher,"['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake']",4.5,4.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Skyline,"12 Nov, 2010",[],Sci-Fi,,Eric BalfourActor,,2.0,1.7,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Due Date,"05 Nov, 2010",[],Comedy,,Todd Phillips,,4.0,4.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Piranha,"29 Oct, 2010",[],Thriller,,Alexandre Aja,,3.0,2.8,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
From Paris With Love," 1 hr 35 mins
	    
	",['Action'],,,Pierre Morel,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak']",3.0,2.9,"James Reece , an aide to the US ambassador in Paris, has just got engaged to a beautiful French girl, Caroline and would like to spend the rest of the week serenading her.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
